DataSize(B),DataSizePerRank(B),NumMPIRanks,MeanRingShiftTime(ms),Bandwidth(GB/s),Latency(ms)
1020,170,6,0.004170,0.037964,0.002085
1022,146,7,0.004095,0.033208,0.002047
1024,128,8,0.003748,0.031803,0.001874
1017,113,9,0.003712,0.028351,0.001856
1020,102,10,0.004271,0.022240,0.002136
1023,93,11,0.003418,0.025338,0.001709
1020,85,12,0.003730,0.021223,0.001865
1014,78,13,0.003894,0.018657,0.001947
1022,73,14,0.004418,0.015390,0.002209
1020,68,15,0.004095,0.015465,0.002047
2040,136,15,0.005673,0.022326,0.002837
2048,1024,2,0.003036,0.314100,0.001518
2046,682,3,0.003305,0.192188,0.001652
2048,512,4,0.003692,0.129165,0.001846
2045,409,5,0.002801,0.135984,0.001401
2046,341,6,0.004772,0.066554,0.002386
2044,292,7,0.003766,0.072206,0.001883
2048,256,8,0.004211,0.056620,0.002105
2043,227,9,0.003902,0.054176,0.001951
2040,204,10,0.003401,0.055865,0.001700
2046,186,11,0.003363,0.051513,0.001681
2040,170,12,0.003446,0.045938,0.001723
2041,157,13,0.004230,0.034564,0.002115
2044,146,14,0.004042,0.033640,0.002021
2040,136,15,0.004353,0.029096,0.002177
4095,273,15,0.003797,0.066961,0.001898
4096,2048,2,0.003574,0.533747,0.001787
4095,1365,3,0.003771,0.337147,0.001885
4096,1024,4,0.003123,0.305332,0.001562
4095,819,5,0.003497,0.218112,0.001749
4092,682,6,0.004065,0.156245,0.002033
4095,585,7,0.004148,0.131349,0.002074
4096,512,8,0.003954,0.120596,0.001977
4095,455,9,0.004084,0.103755,0.002042
4090,409,10,0.004857,0.078429,0.002428
4092,372,11,0.004636,0.074739,0.002318
4092,341,12,0.004461,0.071188,0.002231
4095,315,13,0.003822,0.076756,0.001911
4088,292,14,0.004276,0.063604,0.002138
4095,273,15,0.003872,0.065668,0.001936
8190,546,15,0.004704,0.108095,0.002352
8192,4096,2,0.003616,1.054909,0.001808
8190,2730,3,0.003542,0.717717,0.001771
8192,2048,4,0.004447,0.428910,0.002223
8190,1638,5,0.003445,0.442792,0.001723
8190,1365,6,0.004147,0.306512,0.002074
8190,1170,7,0.003967,0.274662,0.001984
8192,1024,8,0.003941,0.241972,0.001971
8190,910,9,0.004321,0.196151,0.002160
8190,819,10,0.004437,0.171915,0.002218
8184,744,11,0.003952,0.175344,0.001976
8184,682,12,0.003938,0.161306,0.001969
8190,630,13,0.004066,0.144313,0.002033
8190,585,14,0.004234,0.128686,0.002117
8190,546,15,0.004549,0.111793,0.002274
16380,1092,15,0.004579,0.222103,0.002289
16384,8192,2,0.004065,1.876958,0.002032
16383,5461,3,0.002948,1.725249,0.001474
16384,4096,4,0.004734,0.805790,0.002367
16380,3276,5,0.003797,0.803493,0.001899
16380,2730,6,0.004845,0.524809,0.002422
16380,2340,7,0.004555,0.478395,0.002278
16384,2048,8,0.003941,0.483982,0.001970
16380,1820,9,0.004909,0.345292,0.002454
16380,1638,10,0.004846,0.314829,0.002423
16379,1489,11,0.003904,0.355177,0.001952
16380,1365,12,0.004627,0.274733,0.002314
16380,1260,13,0.004058,0.289143,0.002029
16380,1170,14,0.004814,0.226352,0.002407
16380,1092,15,0.004755,0.213897,0.002377
32760,2184,15,0.005418,0.375437,0.002709
32768,16384,2,0.004932,3.093959,0.002466
32766,10922,3,0.003524,2.886191,0.001762
32768,8192,4,0.003545,2.152240,0.001772
32765,6553,5,0.004664,1.308549,0.002332
32766,5461,6,0.004619,1.101101,0.002309
32767,4681,7,0.005131,0.849622,0.002566
32768,4096,8,0.005064,0.753333,0.002532
32760,3640,9,0.005531,0.612898,0.002766
32760,3276,10,0.005721,0.533342,0.002860
32758,2978,11,0.004670,0.593856,0.002335
32760,2730,12,0.004349,0.584653,0.002174
32760,2520,13,0.004647,0.505038,0.002324
32760,2340,14,0.005135,0.424431,0.002567
32760,2184,15,0.005235,0.388520,0.002618
65535,4369,15,0.005341,0.761878,0.002670
65536,32768,2,0.007245,4.212459,0.003622
65535,21845,3,0.006332,3.212880,0.003166
65536,16384,4,0.005321,2.867701,0.002660
65535,13107,5,0.006142,1.987539,0.003071
65532,10922,6,0.004480,2.270696,0.002240
65534,9362,7,0.006600,1.320971,0.003300
65536,8192,8,0.005196,1.468289,0.002598
65529,7281,9,0.005099,1.329890,0.002549
65530,6553,10,0.006932,0.880372,0.003466
65527,5957,11,0.006606,0.839868,0.003303
65532,5461,12,0.005560,0.914767,0.002780
65533,5041,13,0.006049,0.776118,0.003025
65534,4681,14,0.004913,0.887281,0.002457
65535,4369,15,0.005719,0.711536,0.002859
