DataSize(B),DataSizePerRank(B),NumMPIRanks,MeanRingShiftTime(ms),Bandwidth(GB/s),Latency(ms)
2,1,2,0.002714,0.000343,0.001357
4,2,2,0.002517,0.000740,0.001259
3,1,3,0.002858,0.000326,0.001429
4,1,4,0.003154,0.000295,0.001577
8,4,2,0.002328,0.001601,0.001164
6,2,3,0.002426,0.000768,0.001213
8,2,4,0.002780,0.000670,0.001390
5,1,5,0.003531,0.000264,0.001766
6,1,6,0.003209,0.000290,0.001605
7,1,7,0.003178,0.000293,0.001589
8,1,8,0.004084,0.000228,0.002042
15,1,15,0.004091,0.000228,0.002046
16,8,2,0.003069,0.002428,0.001535
15,5,3,0.002995,0.001555,0.001497
16,4,4,0.002823,0.001320,0.001412
15,3,5,0.003081,0.000907,0.001540
12,2,6,0.003300,0.000564,0.001650
14,2,7,0.003768,0.000494,0.001884
16,2,8,0.004168,0.000447,0.002084
9,1,9,0.004261,0.000219,0.002130
10,1,10,0.003247,0.000287,0.001624
11,1,11,0.003632,0.000256,0.001816
12,1,12,0.003660,0.000254,0.001830
13,1,13,0.004146,0.000225,0.002073
14,1,14,0.004130,0.000225,0.002065
15,1,15,0.005575,0.000167,0.002787
30,2,15,0.004265,0.000437,0.002132
32,16,2,0.002611,0.005708,0.001305
30,10,3,0.003113,0.002992,0.001556
32,8,4,0.003448,0.002161,0.001724
30,6,5,0.003464,0.001613,0.001732
30,5,6,0.003599,0.001294,0.001800
28,4,7,0.003198,0.001165,0.001599
32,4,8,0.004136,0.000901,0.002068
27,3,9,0.003780,0.000739,0.001890
30,3,10,0.003924,0.000712,0.001962
22,2,11,0.003581,0.000520,0.001791
24,2,12,0.004281,0.000435,0.002141
26,2,13,0.003938,0.000473,0.001969
28,2,14,0.003888,0.000479,0.001944
30,2,15,0.004027,0.000463,0.002013
60,4,15,0.003947,0.000944,0.001973
64,32,2,0.002772,0.010751,0.001386
63,21,3,0.002269,0.008621,0.001134
64,16,4,0.002842,0.005244,0.001421
60,12,5,0.003642,0.003069,0.001821
60,10,6,0.003021,0.003082,0.001511
63,9,7,0.002581,0.003247,0.001291
64,8,8,0.003294,0.002262,0.001647
63,7,9,0.004075,0.001600,0.002038
60,6,10,0.004611,0.001212,0.002306
55,5,11,0.003675,0.001267,0.001838
60,5,12,0.004222,0.001103,0.002111
52,4,13,0.003740,0.000996,0.001870
56,4,14,0.004242,0.000878,0.002121
60,4,15,0.004450,0.000837,0.002225
120,8,15,0.003932,0.001895,0.001966
128,64,2,0.002606,0.022872,0.001303
126,42,3,0.003380,0.011574,0.001690
128,32,4,0.002417,0.012331,0.001208
125,25,5,0.003586,0.006492,0.001793
126,21,6,0.003349,0.005840,0.001674
126,18,7,0.003790,0.004423,0.001895
128,16,8,0.003933,0.003788,0.001967
126,14,9,0.003393,0.003843,0.001697
120,12,10,0.003344,0.003342,0.001672
121,11,11,0.003065,0.003343,0.001532
120,10,12,0.003668,0.002539,0.001834
117,9,13,0.003736,0.002243,0.001868
126,9,14,0.004429,0.001893,0.002214
120,8,15,0.004934,0.001510,0.002467
255,17,15,0.004452,0.003556,0.002226
256,128,2,0.002396,0.049755,0.001198
255,85,3,0.002672,0.029629,0.001336
256,64,4,0.002821,0.021127,0.001411
255,51,5,0.002890,0.016434,0.001445
252,42,6,0.003802,0.010289,0.001901
252,36,7,0.003772,0.008888,0.001886
256,32,8,0.003968,0.007511,0.001984
252,28,9,0.003666,0.007113,0.001833
250,25,10,0.003198,0.007281,0.001599
253,23,11,0.003693,0.005800,0.001846
252,21,12,0.003724,0.005251,0.001862
247,19,13,0.003622,0.004885,0.001811
252,18,14,0.003517,0.004767,0.001758
255,17,15,0.004151,0.003814,0.002075
510,34,15,0.003446,0.009189,0.001723
512,256,2,0.002670,0.089285,0.001335
510,170,3,0.003081,0.051384,0.001541
512,128,4,0.002641,0.045135,0.001321
510,102,5,0.002918,0.032554,0.001459
510,85,6,0.002784,0.028431,0.001392
511,73,7,0.003415,0.019909,0.001707
512,64,8,0.003780,0.015770,0.001890
504,56,9,0.003946,0.013217,0.001973
510,51,10,0.003011,0.015775,0.001505
506,46,11,0.003843,0.011149,0.001921
504,42,12,0.003273,0.011952,0.001636
507,39,13,0.003433,0.010581,0.001716
504,36,14,0.003291,0.010186,0.001646
510,34,15,0.004498,0.007040,0.002249
1020,68,15,0.004206,0.015057,0.002103
1024,512,2,0.003402,0.140156,0.001701
1023,341,3,0.002954,0.107506,0.001477
1024,256,4,0.003006,0.079323,0.001503
1020,204,5,0.003346,0.056782,0.001673
